noteId	internalNoteIntercept	internalNoteFactor1	scorerName	lowDiligenceNoteIntercept	lowDiligenceNoteFactor1	lowDiligenceNoteInterceptRound2	harassmentNoteIntercept	harassmentNoteFactor1
1597230938316054532	0.40508536	0.41565305	MFCoreScorer	-0.79243314	-0.4446571	-6.044363	-1.7823138	-0.46992087
1643357017401090050	-0.08806856	0.2998868	MFCoreScorer	0.6827511	-1.6963099	2.5270329	0.014246869	-1.220552
1646189694642798610	0.46556032	-0.09068099	MFCoreScorer	0.17117758	-0.99722505	0.4146384	-0.32648063	0.54162246
1654138135473799172	0.23808348	-0.7297578	MFCoreScorer	0.117124364	1.177312	0.95703775	-0.33146805	1.178329
1654226859998040064	0.46491852	-0.5056208	MFCoreScorer	-0.39251703	2.9421384	-3.0279236	-1.2650135	1.7413365
1658592754602246144	0.27985314	-0.73008436	MFCoreScorer	0.12329645	2.7102883	-0.029481662	-0.22273237	1.6640767
1661108803042168833	-0.031621013	0.3614809	MFCoreScorer	0.078147635	-2.3079555	0.8942226	-0.10556574	-1.1418409
1661232055185711104	0.31841853	-0.6609542	MFCoreScorer	-0.12721807	1.8732954	-2.1386	-0.42644417	1.4231429
1661336841717465088	0.028644547	0.57234246	MFCoreScorer	0.5037727	-2.261641	2.8255115	-0.20454969	-1.3700631
1720519053603721333	0.2203712	-0.6394604	MFCoreScorer	-0.94708794	0.53492117	-3.700583	-0.71136284	1.4038858
1817252511192928657	0.24288191	-0.88491297	MFCoreScorer	0.016583404	1.8182163	-0.6003682	-0.5088887	2.2995188
1822096822698901658	0.24322642	-0.911428	MFCoreScorer	0.0069661853	3.0038362	-1.6049728	-0.5923883	1.593029
1882070601889669163	0.025565002	-0.51755047	MFCoreScorer	0.08007202	1.3844198	-0.19470994		
1813341035327524973	0.24247272	0.58129364	MFCoreScorer	0.021393472	-1.6427828	0.04467959	-0.8324747	-0.85735446
1815125121528418674	-0.28690115	-0.07336463	MFCoreScorer	1.6498375	0.76670057	2.4666712	2.3595822	0.30336237
1820012071653916901	0.14428733	-0.8849593	MFCoreScorer	0.6564472	2.247336	1.032327	-0.18233666	2.0978923
1855362244655055301	0.60886663	-0.10987442	MFCoreScorer	-0.7856634	0.31879386	-3.2738762	-1.2068689	0.13845979
1867969494519341249	0.20904909	0.005653056	MFCoreScorer	-0.15164264	0.063006535	-0.7717321		
1878308847737045157	0.23600107	-0.7921758	MFCoreScorer	-0.06982865	2.5355043	0.09272569	-0.3284624	1.6753103
1904338134265151991	0.3239858	0.4939396	MFCoreScorer	0.06899879	-1.5832133	-0.39722168	-1.1768026	-1.3762705
1912586720199209339	0.29195443	0.6031191	MFCoreScorer	-0.26523107	-2.82542	-2.1492155	-0.6158534	-2.3969548
1933294877044830521	0.22119127	-0.961663	MFCoreScorer	0.27281862	2.813322	0.16939016	-0.58455145	3.0944757
1951054563286589938	-0.06129223	-0.15203659	MFCoreScorer	0.64614683	-0.8973347	1.3107048	-0.05748563	0.6868733
1955404395203772495	0.55729127	0.13685466	MFCoreScorer	-0.5530531	-1.5143157	-4.036814	-2.0803304	-1.1087552
1998071244659286334	0.25384796	0.6426413	MFCoreScorer	-0.09002032	-2.1852355	-0.7811512	-0.60689247	-1.8066914
2008634879584653774	0.19551589	0.72434115	MFCoreScorer	0.45691553	-1.9401628	1.4983189	-0.3380047	-2.359156
2009016473717756151	-0.012669702	-0.3506513	MFCoreScorer	1.5309259	0.89995134	2.7241025	1.0037938	0.21381278
1688768157903724969	-0.008018332	-0.33290598	MFCoreScorer	-0.0047838716	1.4254969	0.6592458		
1696309662868709877	0.09816324	0.72197217	MFCoreScorer	0.84413147	-2.858704	2.4111493	-0.32916304	-1.5622656
1712614053183373630	0.1406698	0.65545416	MFCoreScorer	0.288078	-1.8507354	1.3229206	-0.3558682	-0.7411927
1743750070951104762	0.114093915	0.6871052	MFCoreScorer	0.22516835	-2.2310073	1.5812745	0.015780834	-2.0813658
1754412385681740039	-0.06591935	0.46621937	MFCoreScorer	0.6383576	-2.1283038	2.768938	0.4569831	-2.3864408
1756743433065275884	0.57682604	-0.05295321	MFCoreScorer	-0.31946057	-0.62294525	-2.2888725	-0.75438094	-0.2883799
1757175803958182294	0.15169889	-0.85755724	MFCoreScorer	0.13722081	3.0030575	0.72445905	-0.23126541	1.683613
1778785379501380006	0.2661029	-0.76679856	MFCoreScorer	0.44614226	1.4562058	0.44931346	-0.65812886	1.4616169
1786830643076137263	0.20128989	-0.8463363	MFCoreScorer	0.19941568	1.949124	0.2528577	-0.5076309	1.9309461
1819078566304534864	0.20842257	-0.7881419	MFCoreScorer	0.06529195	2.3384335	0.5361126	0.035480965	2.3209336
1769984202488078373	0.14762767	0.013640897	MFCoreScorer	0.31052533	-1.6537741	2.273438		
1812293826247344523	-0.19101688	-0.23139171	MFCoreScorer	1.0692877	0.38761717	1.5410078	1.1046791	0.49699128
1812839167543394472	0.50304407	-0.28964642	MFCoreScorer	-0.043494586	2.4577866	-1.42996	-0.9737711	1.2312014
1838548446912860276	0.23724791	0.28047615	MFCoreScorer	0.2678031	-1.7267965	1.2067227	0.044880077	-1.0533484
1845212279253385293	0.5888097	-0.047916275	MFCoreScorer	-0.6108588	-0.5393254	-2.8058753	-1.0257778	-0.096437976
1845700204747792591	0.077224284	-0.5065005	MFCoreScorer	-0.06640777	1.2182008	-1.9723479	0.0534006	0.008605038
1873603426887577611	0.2299128	-0.86982894	MFCoreScorer	0.28584802	2.1301622	1.4225494	-0.59868693	1.964541
1938239419200295207	0.068646796	-0.31620103	MFCoreScorer	0.055733953	1.0588576	-0.2808884		
2007496504324616243	0.21005583	-0.1885101	MFCoreScorer	-0.061451856	1.0996435	-1.542774	-0.25072756	0.08003907
2007682525683167344	0.1440065	0.6506967	MFCoreScorer	0.5251514	-0.81887996	1.2496979	-0.2631833	-1.2674406
1762988648067383361	0.5117022	0.060524184	MFCoreScorer	-0.6818516	0.58389515	-3.917803	-0.8862649	0.68499464
1768927841822089459	-0.10245905	0.61538076	MFCoreScorer	0.6437765	-2.149014	2.621327	-0.01928261	-2.2919717
1775614446741950488	0.11169558	0.05854058	MFCoreScorer	0.21270443	-0.917745	1.0971512		
1779713877300895865	0.21806496	-0.054202925	MFCoreScorer	-0.38496372	0.93886375	-1.4028847	-0.10354741	0.48843306
1788902563603255521	0.4084963	0.5347969	MFCoreScorer	0.3527323	-0.8052137	0.16468516	-0.95709425	-0.427835
1790293671369433478	0.36935434	0.10373156	MFCoreScorer	0.19715685	3.4545705	-1.3800145	-0.49713373	1.6712918
1790444521412833331	0.3230404	-0.25030306	MFCoreScorer	0.21975519	1.3774159	-0.16680394	-0.1827807	0.72765714
